DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_2,Social_3,Helthcare_2,Shops_1,Rooms_outlier,HouseFloor_outlier,HouseYear_outlier,LifeSquare_nan,Ecology_2_A,Ecology_2_B,Ecology_3_A,Ecology_3_B,Shops_2_A,Shops_2_B
138,1.0,44.84656285873149,21.589865044817753,8.0,3.0,14.0,2004.0,0.0,36,6714,2,0,2,0,0,0,0,0,1,0,1,0,1
41,2.0,54.56786243128815,34.64373715015468,8.0,10.0,12.0,1983.0,6.99893e-05,46,10309,1,1,16,0,0,0,0,0,1,0,1,0,1
44,3.0,77.76361158483809,47.528297641892046,10.0,9.0,17.0,1990.0,0.036122292,24,4378,0,1,1,0,0,0,0,0,1,0,1,0,1
87,2.0,45.64395751695985,30.23749417707177,6.0,5.0,9.0,1976.0,0.100455735,43,7227,0,1,6,0,0,0,0,0,1,0,1,1,0
34,3.0,87.84908601682855,57.10190591093856,3.0,5.0,25.0,2016.0,0.069753361,53,13670,4,1,11,0,0,0,1,0,1,0,1,0,1
6,2.0,73.37352932090056,47.69279405858536,3.0,24.0,25.0,1977.0,0.243204519,5,1564,0,0,0,0,0,0,1,0,1,0,1,0,1
66,2.0,56.07125070081644,34.077837403998984,6.0,4.0,5.0,1954.0,0.161975568,31,7010,5,3,7,0,0,0,0,0,1,1,0,0,1
27,3.0,74.28539308619794,48.65274745503524,10.0,4.0,17.0,2013.0,0.011654127,4,915,0,0,0,0,0,0,0,0,1,0,1,0,1
6,2.0,63.59173987343626,0.7955394676818128,10.0,17.0,17.0,2014.0,0.243204519,5,1564,0,0,0,0,0,0,0,0,1,0,1,0,1
3,2.0,48.33835867536686,31.83699884490038,5.0,5.0,5.0,1968.0,0.265088676,37,5288,0,3,2,0,0,0,0,0,1,0,1,0,1
30,2.0,60.18545045007408,39.12054279254815,3.0,24.0,24.0,1977.0,7.81528e-05,22,6398,141,3,23,0,1,0,1,0,1,0,1,0,1
0,1.0,32.967871516057265,20.883839796478977,5.0,5.0,5.0,1961.0,0.319809354,25,4756,16,5,8,0,0,0,0,0,1,0,1,0,1
87,1.0,36.35516544834022,24.970790725175675,9.0,7.0,9.0,1979.0,0.100455735,43,7227,0,1,6,0,0,0,0,0,1,0,1,1,0
1,1.0,42.41417613853096,27.569214490045127,3.0,14.0,17.0,1977.0,0.007122317,1,264,0,0,1,0,0,0,1,0,1,0,1,0,1
9,2.0,55.55912307797156,32.45540201672913,8.0,10.0,14.0,1992.0,0.161531741,25,5648,1,2,4,0,0,0,0,0,1,0,1,0,1
85,3.0,63.126780845672954,44.07247599965991,6.0,2.0,9.0,1977.0,0.037177818,52,11217,1,1,7,0,0,0,0,0,1,0,1,0,1
34,4.0,98.04774418556572,1.451845964626616,3.0,1.0,1.0,1977.0,0.069753361,53,13670,4,1,11,0,1,0,0,0,1,0,1,0,1
9,3.0,71.43639432415387,45.0540364753687,9.0,9.0,14.0,1995.0,0.161531741,25,5648,1,2,4,0,0,0,0,0,1,0,1,0,1
2,1.0,30.308337787446536,20.69060866408246,5.0,5.0,9.0,1974.0,0.130617806,39,10418,9,1,9,0,0,0,0,0,1,0,1,0,1
42,2.0,63.50321343965717,33.60665218827486,12.0,6.0,12.0,2006.0,0.158249043,21,5731,0,1,0,0,0,0,0,0,1,0,1,0,1
55,2.0,63.29312625875746,38.618207248053324,10.0,12.0,12.0,1998.0,0.041365446,31,5569,0,1,4,0,1,0,0,0,1,0,1,0,1
44,2.0,55.39729168956988,33.081541034403394,9.0,11.0,12.0,1982.0,0.232205084,24,4860,1,0,3,0,0,0,0,0,1,0,1,0,1
193,3.0,74.16073010305314,50.494993951246606,8.0,5.0,5.0,1960.0,0.319809354,25,4756,16,5,8,0,0,0,0,0,1,0,1,0,1
73,3.0,68.41642792738476,47.76721575803862,7.0,6.0,6.0,1929.0,0.042031587,37,6856,84,2,5,0,0,0,0,0,1,0,1,0,1
1,1.0,46.869541870775954,30.46520221600437,3.0,16.0,24.0,1977.0,0.007122317,1,264,0,0,1,0,0,0,1,0,1,0,1,0,1
100,3.0,81.98056014762624,55.63723318167278,8.0,2.0,8.0,1956.0,0.200146802,23,3975,8,2,0,0,0,0,0,0,1,0,1,0,1
57,2.0,61.698048389762526,35.134879332935405,8.0,11.0,17.0,2004.0,0.13321533300000002,49,11395,3,3,4,0,0,0,0,0,1,0,1,1,0
1,2.0,54.56150752687176,56.30673650946182,8.0,10.0,14.0,1977.0,0.025609157,33,5261,0,3,1,0,0,0,0,0,1,0,1,0,1
27,1.0,42.04673877226928,27.330380201975032,3.0,1.0,1.0,1977.0,0.072157581,2,629,1,0,0,0,1,0,1,0,1,0,1,1,0
10,4.0,83.8333874291685,64.94654758809416,6.0,1.0,9.0,1969.0,0.089039719,33,7976,5,0,11,0,0,0,0,0,1,0,1,0,1
128,2.0,55.410051074772966,30.245471686365512,8.0,17.0,17.0,1992.0,0.0,27,4798,0,2,8,0,0,0,0,0,1,0,1,0,1
34,1.0,42.48041162745433,44.22207245906566,3.0,24.0,25.0,2015.0,0.069753361,53,13670,4,1,11,0,0,0,0,0,1,0,1,0,1
122,1.0,42.713817373712466,23.66931253767267,8.0,12.0,12.0,1998.0,0.033493708,66,10573,1,3,8,0,1,0,0,0,1,0,1,0,1
27,2.0,76.51767916096178,49.73649145462516,3.0,6.0,17.0,1977.0,0.072157581,2,629,1,0,0,0,0,0,1,0,1,0,1,1,0
