iter	F1	Logloss
0	0.5693330263	0.6841287823
1	0.5693330263	0.6768216806
2	0.5564484471	0.6698963147
3	0.5564484471	0.6642457754
4	0.5564484471	0.6583556062
5	0.5742709436	0.6534474413
6	0.5541786036	0.6481309278
7	0.5495454693	0.6438371418
8	0.5501202876	0.63931038
9	0.5522610099	0.635577263
10	0.5506106674	0.6321352035
11	0.5513739848	0.6291395783
12	0.5517590561	0.6260822316
13	0.5518519804	0.6231006341
14	0.5512520447	0.6204588653
15	0.552343109	0.6192248929
16	0.5521264773	0.6164807553
17	0.5527131773	0.6143052387
18	0.5536925089	0.6123115024
19	0.5542752748	0.6110742548
20	0.5608691892	0.6085967683
21	0.554956536	0.6065415239
22	0.5545669903	0.6057402536
23	0.5544700581	0.6040136291
24	0.5536909794	0.6030201773
25	0.5632073519	0.6010527538
26	0.5570836891	0.6003057368
27	0.5571810592	0.5985645773
28	0.558995844	0.5979547337
29	0.5624827765	0.5972054971
30	0.5696618675	0.5967555574
31	0.5670661845	0.5961863412
32	0.5704727457	0.5949375431
33	0.5715349707	0.5944315318
34	0.570170046	0.5939122871
35	0.5685039359	0.5934795648
36	0.5701474714	0.5915262605
37	0.5692194769	0.5901269021
38	0.5713169195	0.5886695249
39	0.5728926281	0.5881573337
40	0.5729898505	0.5868665828
41	0.5713652849	0.5862962868
42	0.5739083254	0.5856776526
43	0.576620045	0.5854132355
44	0.5777251173	0.5850484421
45	0.577627347	0.5847628668
46	0.5773345226	0.5825949332
47	0.5779828864	0.5815852711
48	0.5777882531	0.5812297969
49	0.5773993535	0.5808595217
50	0.5767489005	0.5806218799
51	0.5759644861	0.5797950026
52	0.5759644861	0.5791275644
53	0.5765192049	0.578739873
54	0.5758365181	0.578385349
55	0.5773993535	0.5776811816
56	0.5792161809	0.577477776
57	0.579473878	0.5771036093
58	0.5789863352	0.5768407419
59	0.5782750822	0.5757399326
60	0.577074831	0.5743390525
61	0.5773018247	0.5740943916
62	0.5794115156	0.5733237815
63	0.5816714298	0.573077265
64	0.5784063854	0.5726178556
65	0.5787971412	0.5723668292
66	0.5794115156	0.5721677675
67	0.5809645684	0.5716046423
68	0.5799622426	0.5711250875
69	0.5812960795	0.5708959263
70	0.5813941704	0.5703958645
71	0.5817482789	0.5702216907
72	0.5829859752	0.5700293602
73	0.5825341066	0.5698458259
74	0.5833220603	0.5695820779
75	0.584126983	0.5685895664
76	0.5875700498	0.5684399575
77	0.5871219763	0.5683569544
78	0.5857306463	0.5681306333
79	0.5866280819	0.5679754808
80	0.5854785133	0.5677432064
81	0.5862243338	0.5675544059
82	0.5863770301	0.5657986958
83	0.5883144846	0.5655293105
84	0.5889597377	0.5653390051
85	0.5895055488	0.5652239695
86	0.5905452337	0.5644890286
87	0.5895553715	0.5643081498
88	0.5913866592	0.5642262218
89	0.5930160422	0.5632909408
90	0.5956083549	0.5631027431
91	0.5962465582	0.5629900062
92	0.5964455558	0.5628783073
93	0.5958071827	0.5623650099
94	0.5954667679	0.5619008034
95	0.5983976536	0.5617320658
96	0.5977608944	0.5614921247
97	0.597860498	0.5613109692
98	0.598597063	0.5611609378
99	0.598159508	0.5610725465
100	0.5985586536	0.5609740393
101	0.598159508	0.5607998624
102	0.5978997109	0.560636188
103	0.5978997109	0.5605218166
104	0.5975617868	0.5603917197
105	0.5983366588	0.5602832259
106	0.5978997109	0.560135315
107	0.5984361991	0.5600162292
108	0.5979992331	0.5598382838
109	0.5978997109	0.5594270781
110	0.5978002218	0.5593545326
111	0.5966674415	0.5592764476
112	0.5987117326	0.5584991669
113	0.5995821022	0.5584052284
114	0.60035112	0.5577532173
115	0.602713017	0.5573296553
116	0.6028126175	0.5572360503
117	0.6033434638	0.5571650337
118	0.6036745394	0.5570629004
119	0.6053629725	0.5569647794
120	0.6059916559	0.556804244
121	0.6059916559	0.556672211
122	0.6064201425	0.556588305
123	0.6063202281	0.5565082667
124	0.6061204981	0.5564176526
125	0.6054924948	0.5562868326
126	0.6061204981	0.5562008712
127	0.6061204981	0.5561092888
128	0.6064486384	0.5560061139
129	0.6068761297	0.5559251199
130	0.6058503366	0.5557789163
131	0.6058503366	0.5557257609
132	0.6073305295	0.5556465726
133	0.60795613	0.555584871
134	0.6070037619	0.5554448963
