iter	Passed	Remaining
0	8	3765
1	17	3570
2	25	3519
3	32	3353
4	40	3320
5	49	3444
6	56	3348
7	64	3331
8	71	3281
9	79	3266
10	87	3257
11	93	3193
12	102	3198
13	108	3157
14	115	3131
15	122	3099
16	130	3098
17	138	3088
18	146	3099
19	154	3080
20	162	3090
21	169	3068
22	174	3016
23	182	3009
24	188	2986
25	196	2970
26	201	2932
27	205	2880
28	211	2848
29	217	2830
30	222	2794
31	227	2752
32	232	2720
33	237	2698
34	241	2661
35	249	2661
36	254	2636
37	259	2604
38	264	2583
39	269	2558
40	274	2533
41	280	2521
42	285	2503
43	289	2472
44	296	2468
45	301	2448
46	308	2448
47	314	2433
48	318	2410
49	322	2382
50	329	2381
51	334	2364
52	338	2346
53	346	2347
54	350	2326
55	354	2303
56	360	2297
57	366	2286
58	370	2266
59	376	2261
60	382	2253
61	386	2232
62	393	2228
63	397	2210
64	401	2191
65	405	2175
66	410	2163
67	413	2142
68	417	2125
69	421	2109
70	427	2099
71	431	2083
72	434	2066
73	439	2057
74	443	2039
75	447	2024
76	450	2008
77	455	1995
78	459	1983
79	463	1969
80	467	1956
81	473	1951
82	477	1939
83	481	1926
84	485	1911
85	489	1901
86	493	1889
87	498	1880
88	503	1872
89	508	1862
90	511	1850
91	515	1838
92	519	1827
93	523	1816
94	528	1806
95	531	1795
96	538	1792
97	542	1781
98	546	1771
99	550	1760
100	555	1753
101	559	1743
102	562	1732
103	566	1721
104	571	1713
105	575	1704
106	579	1694
107	583	1686
108	587	1677
109	596	1680
110	604	1682
111	612	1684
112	619	1684
113	627	1684
114	635	1685
115	643	1686
116	649	1682
117	656	1681
118	663	1679
119	670	1676
120	674	1666
121	678	1656
122	685	1654
123	689	1646
124	693	1637
125	699	1631
126	703	1622
127	707	1613
128	711	1606
129	716	1597
130	720	1588
131	723	1579
132	728	1571
133	733	1565
134	737	1556
135	741	1548
136	745	1540
137	749	1532
138	753	1523
139	757	1514
140	762	1508
141	766	1500
142	770	1491
143	774	1483
144	779	1478
145	783	1470
146	790	1467
147	795	1461
148	799	1454
149	803	1446
150	807	1438
151	813	1434
152	818	1427
153	822	1419
154	826	1413
155	831	1406
156	834	1398
157	838	1390
158	842	1382
159	846	1375
